Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Image URL,Activities,Source
Shadi Ka Albam,,,,,Girish Karnad,"Karnad, Girish",,,,,,Radhakrishna Prakashan,,2019/03/01,2019,,,,,"गिरीश कारनाड के नाटकों में मन की तहें खुलती हैं। उनके पौराणिक कथा-सूत्रों पर आधारित नाटकों में पाठकों-दर्शकों ने मनुष्य की आदिम वृत्तियों, उसकी अकुंठ जिजीविषा, वासना, नैतिक वर्जनाओं में कुलबुलाते और उनके सच को उघाड़ते आत्म को अनेक रूपों में देखा है। यह उनका आधुनिक परिवेश में घटित नाटक है। इसमें इक्कीसवीं सदी के भारत की एकदम नई पीढ़ी और उसके पीछे अब भी खड़े पुराने भारत की छवियाँ हैं। इस लिहाज़ से इस नाटक में वह एक भिन्न आस्वाद की रचना करते हैं। लेकिन व्यक्ति के भीतर और बाहर तथा समाज के दैनिक व्यवहारों और नैतिक प्रतिज्ञाओं के बीच की फाँक को प्रकाशित करने की उनकी लेखकीय शपथ यहाँ भी तीव्र है। यह नाटक हमें बताता है कि अब भी हमारा जीवन दो समानान्तर यथार्थों के साथ ही सम्भव है, कि आज इंटरनेट और ग्लोबल गाँव के वातावरण में भी हम वह पारदर्शिता प्राप्त नहीं कर पाए जिसका सपना हमारा वास्तविक आत्म अपने सबसे स्वच्छ क्षणों में देखता है, और जिसका आकर्षक चित्रांकन हमारे सब धर्म और नीति-संहिताएँ करती हैं। कहानी एक परिवार की है जहाँ दो शादियाँ होनी हैं। किसी भी भारतीय परिवार में शादी के आसपास जैसा वातावरण होता है, उसे संवादों और दृश्यों के रूप में जिस तरह यहाँ गिरीश कारनाड ने रूपायित किया है, वह अद्भुत है और उसके साथ-साथ, परिवार के अतीत में बिंधी अब तक अनकही सच्चाइयों और भावी पीढ़ी के सुविधावादी समझौतों को जितने बारीक नश्तर से उकेरा है, वह भी। नाटक में कहीं भी ऐसे किसी दृश्य का आयोजन नहीं है जिसे मंच पर उतारना कठिन हो, और न ही कहीं इतना शिथिल कि पढऩेवाला पढ़ता न चला जाए।",,,,,,,,,,,124,,,,,250 ,English,,,,,,9788183618496,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:19:00.355589985,,,,,,,yFeNDwAAQBAJ,Hindi,0,0,,,,
Bāteṃ-Mulāqāteṃ,,ātmaparaka-sāhityaparaka,,,Manohara Śyāma Jośī,"Jośī, Manohara Śyāma",,,,,,Vāṇī Prakāśana,,,2014,,,,Interviews,,,,,,,,,,,,183,,,,, 395.00,Hindi,,,,2014361530,,9789350726952,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:38:48.271553993,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350726955.01Z.jpg,,
Sūkha ̄baragada,,,,,Mañzūra Ehateśāma,"Ehateśāma, Mañzūra",,,,,,,,,,,,,,,,,,,,,,,,,227,,,,, 250.00,Hindi,,,,,,9788126717637,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:39:29.025766968,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126717637.01Z.jpg,,
Bhaya Kabeer Udas,,,,,Usha Priyamvada,"Priyamvada, Usha",,,,,,Rajkamal Prakashan,,2007/09/01,2007,,,,,"यह महज़ इत्तिफाक है या फिर उत्तराधिकार? नानी बहुत कम आयु में मर गई थीं, सुना था कि उनकी छाती मंे फोड़ा था, कभी किसी को बताया ही नहीं। यदि बताया भी होगा तो मालूम नहीं क्या उपचार हुआ होगा? अन्त समय में लोग उनके पास जाने तक से कतराते थे। मरी हुई मछली जैसी गन्ध आने लगी थी उनकी देह से। ‘‘कैन्सर!’’ डॉक्टर स्टीेवन ने सुनते ही कहा तुम्हारी नानी को अवश्य ही कैन्सर रहा होगा। यदि ट्यूमर निकाला न जाए तो वह अन्दर ही अन्दर ऐसे ही बढ़ता रहता है, जब फूटता है तो पूरे शरीर में उसका ज़हर फैल जाता है। बहुत भयंकर, पीड़ा भरी मौत होती है।’’ उसकी कल्पना मात्र से ही मेरे रोंगटे खड़े हो जाते हैं, डाक्टर स्टीवेन मेरे कंधे पर हलके से हाथ रखते हुए कहते हैं, ‘‘पर तुम फिक्र न करो हम लोग यहाँ हैं तुम्हारे लिए इस रणस्थली में हम साथ-साथ हैं मिलकर इस शत्रु को परास्त करने में सफल होंगे।’’ ‘‘वादा?’’ वह आश्वस्त भाव से मुस्करा दिए - ‘‘वादा’’ उन्होंने दोहराया।",,,,,,,,,,,183,,,,,150 ,Hindi,,,,,,9788126713875,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:39:55.510157942,,,,,,,0aFgBndcmqAC,Hindi,0,0,,,,
Samudra ki lehron mein.,,,,,Khushwant Singh,"Singh, Khushwant",,,,,,,,,,,,,,,,,,,,,,,,,152,,,,, 195.00,Hindi,,,,,,9789350641132,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:40:20.877393960,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641135.01Z.jpg,,
Agnigarbha,,,,,Amritlal Nagar,"Nagar, Amritlal",,,,,,Rajpal & Sons,,,2013,,,,,Social novel.,,,,,,,,,,,144,,,,, 200.00,Hindi,,,,,,9788170285571,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:41:55.596977949,,,,,,,5nqFf5RtMr8C,Hindi,0,0,,,,
Khuda Ki Kasam,,,,,Saadat Hasan Manto,"Manto, Saadat Hasan",,,,,,Vani Prakashan,,2012/01/07,2012,,,,Literary Criticism,Stories based on social themes.,,,,,,,,,,,82,,,,,200 ,Hindi,,,,,,9789350722947,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:43:38.348238945,,,,,,,O8AjDwAAQBAJ,Hindi,0,0,,,,
Khuda Ki Kasam,,,,,Saadat Hasan Manto,"Manto, Saadat Hasan",,,,,,Vani Prakashan,,2012/01/07,2012,,,,Literary Criticism,Stories based on social themes.,,,,,,,,,,,82,,,,,200 ,Hindi,,,,,,9789350722947,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:45:29.688266992,,,,,,,O8AjDwAAQBAJ,Hindi,0,0,,,,
Ṭobā Ṭekasiṃha aura anya kahāniyām̐,,,,,Saʻādat Ḥasan Manṭo,"Manṭo, Saʻādat Ḥasan",,,,,,Rājapāla eṇḍa Sanza,,,2013,,,,,,,,,,,,,,,,160,,,,, 195.00,Hindi,,,,,,9789350641767,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:46:17.658476948,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641763.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Upendranātha Aśka,"Aśka, Upendranātha",,,,,,,,,,,,,,,,,,,,,,,,,119,,,,, 165.00,Hindi,,,,,,9789350642306,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:46:40.259655952,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350642301.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Bhagavatī Caraṇa Varmā,"Varmā, Bhagavatī Caraṇa",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,Hindi,,,,,,9789350640463,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:47:14.991875052,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640465.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Upendranātha Aśka,"Aśka, Upendranātha",,,,,,,,,,,,,,,,,,,,,,,,,119,,,,, 125.00,Hindi,,,,,,9789350642306,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:47:43.131993055,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350642301.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Phaṇīśvaranātha Reṇu,"Reṇu, Phaṇīśvaranātha",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 185.00,Hindi,,,,,,9789350640548,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:48:07.446863055,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640546.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Phaṇīśvaranātha Reṇu,"Reṇu, Phaṇīśvaranātha",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,Hindi,,,,,,9789350640548,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:50:00.296551942,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640546.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Rajendra Yādav,"Yādav, Rajendra",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 150.00,Hindi,,,,,,9789350640647,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:50:20.794927954,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640643.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Phaṇīśvaranātha Reṇu,"Reṇu, Phaṇīśvaranātha",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 185.00,Hindi,,,,,,9789350640548,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:50:40.814154028,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640546.01Z.jpg,,
Merī priya kahāniyām̐,,,,,1923-2003 Śivānī,"Śivānī, 1923-2003",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,, 165.00,Hindi,,,,,,9789350641064,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:51:05.516582965,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641062.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Bhīshma Sāhanī,"Sāhanī, Bhīshma",,,,,,,,,,,,,,,,,,,,,,,,,13,,,,, 150.00,Hindi,,,,,,9789350640692,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:51:32.269314050,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640694.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Abdula Bismillāha,"Bismillāha, Abdula",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,, 150.00,Hindi,,,,,,9789386534071,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:51:50.436470031,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/938653407X.01Z.jpg,,
Nibandhoṃ kī duniyā,,,,,Hajārīprasāda Dvivedī,"Dvivedī, Hajārīprasāda",,,,,,Vani Prakashan,,,2009,,,,,Selected essays of a Hindi author.,,,,,,,,,,,195,,,,, 95.00,Hindi,,,,,,9788181439147,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:55:47.465173006,,,,,,,c4xMXNuQmm0C,Hindi,0,0,,,,
Mahabhoj,,,,,Mannu Bhandari,"Bhandari, Mannu",,,,,,Radhakrishna Prakashan,,2008/09/01,2008,,,,,"मन्नू भंडारी का महाभोज उपन्यास इस धारणा को तोड़ता है कि महिलाएं या तो घर-परिवार के बारे में लिखती हैं, या अपनी भावनाओं की दुनिया में ही जीती-मरती हैं! महाभोज विद्रोह का राजनैतिक उपन्यास है! जनतंत्र में साधारण जन की जगह कहाँ है? राजनीति और नौकरशाही के सूत्रधारों ने सारे ताने-बाने को इस तरह उलझा दिया है कि वह जनता को फांसने और घोटने का जाल बनकर रह गया है! इस जाल की हर कड़ी महाभोज के दा साहब की उँगलियों के इशारों पर सिमटती और कहती है! हर सूत्र के वे कुशल संचालक हैं! उनकी सरपरस्ती में राजनीति के खोटे सिक्के समाज चला रहे हैं!-खरे सिक्के एक तरफ फेंक दिए गए हैं! महाभोज एक ओर तंत्र के शिकंजे की तो दूसरी ओर जन की नियति के द्वन्द की दारुण कथा है! अनेक देशी-विदेशी भाषाओँ में इस महत्त्पूर्ण उपन्यास के अनुवाद हुए हैं और महाभोज नाटक तो दर्जनों भाषाओँ में सैकड़ों बार मानचित होता रहा है! ‘नेशनल स्कूल ऑफ़ ड्रामा (दिल्ली), द्वारा मानचित महाभोज नाटक राष्ट्रीय नाट्य-मंडल की गौरवशाली प्रस्तुतियों में अविस्मर्णीय है! हिंदी के सजग पाठक के लिए अनिवार्य उपन्यास है महाभोज!",,,,,,,,,,,167,,,,, 150.00,Hindi,,,,,,9788183610926,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:57:01.353551983,,,,,,,XcrSlsIOnIQC,Hindi,0,0,,,,
Rag Darbari,,,,,Shrilal Shukla,"Shukla, Shrilal",,,,,,Rajkamal Prakashan,,2008/09/01,2008,,,,,"राग दरबारी एक ऐसा उपन्यास है जो गाँव की कथा के माध्यम से आधुनिक भारतीय  जीवन की मूल्यहीनता को सहजता और निर्ममता से अनावृत्त करता है | शुरू से  आखिर तक इतने निस्संग और सोद्देश्य व्यंग्य के साथ लिखा गया हिंदी का शायद  यह पहला वृहत उपन्यास है | फिर भी राग दरबारी व्यंग्य-कथा नहीं है | इसका सम्बन्ध एक बड़े नगर से कुछ  दूर बसे हुए गाँव की जिंदगी से है, जो इतने वर्षों की प्रगति और विकास के  नारों के बावजूद निहित स्वार्थों और अनेक अवांछनीय तत्त्वों के सामने घिसट  रही है | यह उसी जिंदगी का दस्तावेज है | 1968 में राग दरबारी का प्रकाशन एक महत्त्वपूर्ण साहित्यिक घटना थी | 1971  में इसे साहित्य पुरस्कार से सम्मानित किया गया और 1986 में एक  दूरदर्शन-धारावाहिक के रूप में इसे लाखों दर्शकों की सराहना प्राप्त हुई | वस्तुतः राग दरबारी हिंदी के कुछ कालजयी उपन्यासों में से एक है |",,,,,,,,,,,334,,,,, 350.00,Hindi,,,,,,9788126713967,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:59:22.002017021,,,,,,,ZHXotfi5mKAC,Hindi,0,0,,,,
Ādhā gām̐va,,,,,1927-1992 Rāhī Māsūma Razā,"Rāhī Māsūma Razā, 1927-1992",,,,,,Rājakamala Peparabaiksa,,,2014,,,,,,,,,,,,,,,,344,,,,, 350.00,Hindi,,,,,,9788126715022,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:00:07.625653982,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126715022.01Z.jpg,,
Umarāva Jāna Adā = Umrao Jaan Ada,,Novel,,,Mirza Mohammad Hadi Ruswa,"Ruswa, Mirza Mohammad Hadi",,,,,,,,,,,,,,,,,,,,,,,,,218,,,,, 275.00,Hindi,,,,,,9789386534316,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:01:00.927050948,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534312.01Z.jpg,,
Aadhunik Kahani : Arbistan,,Ādhunika kahānī,,,Amrit Mehta,"Mehta, Amrit",,,,,,Vani Prakashan,,2012/05/15,2012,,,,Literary Criticism,"प्रस्तुत किताब रूसी कहानियो का अनुवाद है। आधुनिक कहानी: रूस से एक कहानी का एक अंश, आधुनिक कहानी: अरबिस्तान ...फिर असली मँगनी का दिन आया, गश्बानियत का। बैठकों के साथ ईरानी डिजशइन वाला एक बड़ा तम्बू बाहर बाग तक लगाया गया था। उसके भीतर आदमियों, शादीशुदा औरतों और लड़कियों के बैठने की अलग-अलग जगहें बनायी गयी थीं। क्योंकि शादीशुदा औरतों की बातें, अक्सर बहुत अश्लील, जवान लड़कियों के सुनने लायक नहीं थीं। उधर यूरोप में विश्वयुद्ध और मध्य यूरोपीय ताकष्तों की आक्रामकता के लिए बत्तियाँ जलाकर कोई निशाना पेश न करने की जश्रूरत के बावजूद समारोह भव्य था। ऐसे मौकषें पर जवान लड़कियों की ख़ूबसूरती या बदसूरती को तोला जाता था और साथ ही उनके पिताओं का, समाज में रुतबा और दौलत। मेहमानों का दजर्श, खाना-पीना, डांसरों को दी गयी फीस और जोकरों की चर्चा एक लम्बे समय तक चलती रहती थी। गश्बानियत के बाद मैडम मार्कोस को हकष् था कि वह अपने मँगेतर के साथ घूमे-फिरे, अपनी पसन्द का फर्ष्नीचर, फषनूस और बर्तन लाये। मगर एक भाई का साथ होना जरुरी था",,,,,,,,,,,196,,,,, 395.00,Hindi,,,,,,9789350008379,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:03:39.282665014,,,,,,,9GbFDgAAQBAJ,Hindi,0,0,,,,
Ajaya: Paason ka Khel,,Duryodhan ki Mahabharat,,,Anand Neelakantan,"Neelakantan, Anand",,,,,,Manjul Publishing,,,2015,,,,Fiction,"This is the Hindi translation of AJAYA: ROLL OF THE DICE by Anand Neelkantan.It is a story based on one of greatest epics of India, The Mahabharata. But, while Jaya was the story about the victory of the Pandavas, Ajaya is the story from the invincible Kauravas point of view. The book is set in the backdrop of India's most powerful empire. A revolution is about to happen and Bhishma, finds himself struggling to maintain the unity of his empire. Dhritarashtra, is the reigning King with his foreignborn Queen, Gandhari. Kunti, the DowagerQueen, meanwhile waits in the background to see her firstborn son become the rightful ruler of the kingdom. The other key characters in the book are Eklavya, Karna, Parashurama, Balarama, Jara and Takshaka. Amidst, all the confusion and power struggle, Prince Suyodhana, the rightful heir to the throne stands tall, determined to claim the throne. Meanwhile, in the corridors of Hastinapur a plot to overthrow the present King and conquer India is brewing. Who ultimately gets to sit on the throne and be the most deserving King?",,,,,,,,,,,413,,,,,350 ,Hindi,,,,,,9788183225328,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:04:56.292762041,,,,,,,6NYlDwAAQBAJ,Hindi,0,0,,,,
Gurumukhasiṃha kī vasīyata aura anya kahāniyām̐,,,,,Saʻādat Ḥasan Manṭo,"Manṭo, Saʻādat Ḥasan",,,,,,Rājapāla eṇḍa Sanza,,,2019,,,,,,,,,,,,,,,,175,,,,, 195.00,Hindi,,,,,,9789386534927,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:06:26.547765016,,,,,,,IR8CyAEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9386534924.01Z.jpg,,
Kali salvaar aur anya kahaniyan,,,,,Saʻādat Ḥasan Manṭo,"Manṭo, Saʻādat Ḥasan",,,,,,,,,2016,,,,,,,,,,,,,,,,158,,,,, 185.00,Hindi,,,,,,9789350643822,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:06:53.895184993,,,,,,,t8lPAQAACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9350643820.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Upendranātha Aśka,"Aśka, Upendranātha",,,,,,,,,,,,,,,,,,,,,,,,,119,,,,, 165.00,Hindi,,,,,,9789350642306,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:07:34.763640046,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350642301.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Akhileśa,Akhileśa,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,, 150.00,Hindi,,,,,,9789350643358,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:43:27.710610032,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350643359.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Rajendra Yādav,"Yādav, Rajendra",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 150.00,Hindi,,,,,,9789350640647,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:43:45.892948031,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640643.01Z.jpg,,
मेरी प्रिय कहानियाँ,,,,,रवींद्र कालिया,"कालिया, रवींद्र",,,,,,Rājapāla,,,2017,,,,,Selected stories of a Hindi author.,,,,,,,,,,,139,,,,, 150.00,Hindi,,,,,,9789350643044,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:46:13.869588017,,,,,,,yz_DswEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9350643049.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Acharya Caturasena,"Caturasena, Acharya",,,,,,Rājapāla eṇḍa Sanza,,,2012,,,,,,,,,,,,,,,,144,,,,, 150.00,Hindi,,,,,,9789350640524,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:47:07.040943026,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/935064052X.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Mannu Bhandari,"Bhandari, Mannu",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,Hindi,,,,,,9789350640609,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:47:34.939741015,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640600.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Citrā Mudgala,"Mudgala, Citrā",,,,,,Rājapāla eṇḍa Sanza,,,2013,,,,,,,,,,,,,,,,128,,,,, 135.00,Hindi,,,,,,9789350641286,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:48:05.740831017,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641283.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Pratibhā Rāẏa,"Rāẏa, Pratibhā",,,,,,Rājapāla eṇḍa Sanza,,,2011,,,,,,,,,,,,,,,,143,,,,, 150.00,Hindi,,,,,,9788170289579,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:50:47.134642958,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289572.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Mannu Bhandari,"Bhandari, Mannu",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,Hindi,,,,,,9789350640609,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:51:19.718446969,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640600.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Upendranātha Aśka,"Aśka, Upendranātha",,,,,,,,,,,,,,,,,,,,,,,,,119,,,,, 165.00,Hindi,,,,,,9789350642306,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:51:36.720517992,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350642301.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Upendranātha Aśka,"Aśka, Upendranātha",,,,,,,,,,,,,,,,,,,,,,,,,119,,,,, 165.00,Hindi,,,,,,9789350642306,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:58:46.758823990,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350642301.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Rajendra Yādav,"Yādav, Rajendra",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 150.00,Hindi,,,,,,9789350640647,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:59:14.343382954,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640643.01Z.jpg,,
Yādoṃ kī barāta,,,,,1898-1982 Josh Malīḥābādī,"Josh Malīḥābādī, 1898-1982",,,,,,,,,,,,,,,,,,,,,,,,,154,,,,, 195.00,Hindi,,,,,,9789386534675,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:59:47.882084012,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534673.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Kāśīnātha Siṃha,"Siṃha, Kāśīnātha",,,,,,Rājapāla eṇḍ Sanz,,,2013,,,,,,,,,,,,,,,,,,,,, 165.00,Hindi,,,,,,9788170289159,0,4.500000,,Unread,,,,,,,,0,,,,2020/07/25 15:00:22.329488039,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289157.01Z.jpg,,
Merī priya kahāniyām̐,,,,,1946 Asagara Vajāhata,"Asagara Vajāhata, 1946",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,, 125.00,Hindi,,,,,,9789350640913,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 15:00:38.147264003,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640910.01Z.jpg,,
Merī priya kahāniyām̐,,,,,1923-2003 Śivānī,"Śivānī, 1923-2003",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,, 165.00,Hindi,,,,,,9789350641064,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 15:02:25.136136054,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641062.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Kamaleśvara 1932-2007,"1932-2007, Kamaleśvara",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,Hindi,,,,,,9789350640586,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 15:02:48.252002000,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640589.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Kamaleśvara 1932-2007,"1932-2007, Kamaleśvara",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,Hindi,,,,,,9789350640586,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 15:03:06.356624007,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640589.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Yaśpāla 1903-1976,"1903-1976, Yaśpāla",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,Hindi,,,,,,9789350640500,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 15:03:56.093575954,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640503.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Yaśpāla 1903-1976,"1903-1976, Yaśpāla",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,Hindi,,,,,,9789350640500,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 15:04:12.307726979,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640503.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Mohana Rākeśa,"Rākeśa, Mohana",,,,,,Rājapāla,,,2012,,,,,,,,,,,,,,,,119,,,,, 165.00,Hindi,,,,,,9789350640623,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 15:04:36.678092002,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640627.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Mohana Rākeśa,"Rākeśa, Mohana",,,,,,Rājapāla,,,2012,,,,,,,,,,,,,,,,119,,,,, 165.00,Hindi,,,,,,9789350640623,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 15:04:58.562206029,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640627.01Z.jpg,,
